GENUS;Source;COMMENT on genus;primary_lifestyle;Secondary_lifestyle;Comment_on_lifestyle_template;Endophytic_interaction_capability_template;Plant_pathogenic_capacity_template;Decay_substrate_template;Decay_type_template;Aquatic_habitat_template;Animal_biotrophic_capacity_template;Specific_hosts;Growth_form_template;Fruitbody_type_template;Hymenium_type_template;Ectomycorrhiza_exploration_type_template;Ectomycorrhiza_lineage_template;primary_photobiont;secondary_photobiont
Phaeothecoidea;Fungal_traits_DB;;litter_saprotroph;plant_pathogen;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Pseudotaeniolina;Fungal_traits_DB;;litter_saprotroph;rock-inhabiting;;foliar_endophyte;;leaf/fruit/seed,soil;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Pseudoteratosphaeria;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Queenslandipenidiella;Fungal_traits_DB;;sooty_mold;litter_saprotroph;;;;leaf/fruit/seed,sugar-rich_substrates;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Readeriella;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Recurvomyces;Fungal_traits_DB;;soil_saprotroph;rock-inhabiting;;;;soil;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Simplicidiella;Fungal_traits_DB;;animal-associated;animal_decomposer;;;;animal_material;;non-aquatic;arthropod-associated;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Stenella;Fungal_traits_DB;;litter_saprotroph;plant_pathogen;;;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Suberoteratosphaeria;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Teratoramularia;Fungal_traits_DB;;epiphyte;litter_saprotroph;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
