Reference,DOI,Ref_Type,Accession,Fungi,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Study_Type,Organ,Sampling_Location,Lat,Lon,Country,Collection_Date,Host_Genus,Host_Species,Host_Kingdom,Host_Phylum,Host_Class,Host_Order,Host_Family,MAT,MAP,Elevation,spr_rgn
Fungal root endophytes of Agathis australis,Unpublished,GenBank,MN156504,Mycena,"Mycena (Pers.) Roussel, 1806",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA,NA,Root,Auckland Waitakere Ranges,NA,NA,New Zealand,NA,Agathis,australis,Plantae,Pinophyta,Pinopsida,Araucariales,Araucariaceae,NA,NA,NA,NA
Fungal root endophytes of Agathis australis,Unpublished,GenBank,MN156505,Mycena,"Mycena (Pers.) Roussel, 1806",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA,NA,Root,Auckland Waitakere Ranges,NA,NA,New Zealand,NA,Agathis,australis,Plantae,Pinophyta,Pinopsida,Araucariales,Araucariaceae,NA,NA,NA,NA
Fungal root endophytes of Agathis australis,Unpublished,GenBank,MN156506,Mycena,"Mycena (Pers.) Roussel, 1806",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA,NA,Root,Auckland Waitakere Ranges,NA,NA,New Zealand,NA,Agathis,australis,Plantae,Pinophyta,Pinopsida,Araucariales,Araucariaceae,NA,NA,NA,NA
Fungal root endophytes of Agathis australis,Unpublished,GenBank,MN218791,Mycena,"Mycena (Pers.) Roussel, 1806",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA,NA,Root,Auckland Waitakere Ranges,NA,NA,New Zealand,NA,Agathis,australis,Plantae,Pinophyta,Pinopsida,Araucariales,Araucariaceae,NA,NA,NA,NA
Fungal root endophytes of Agathis australis,Unpublished,GenBank,MN218793,Mycena,"Mycena (Pers.) Roussel, 1806",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA,NA,Root,Auckland Waitakere Ranges,NA,NA,New Zealand,NA,Agathis,australis,Plantae,Pinophyta,Pinopsida,Araucariales,Araucariaceae,NA,NA,NA,NA
NA19,10.13346/j.mycosystema.210177,Literature,NA,Trametes,"Trametes Fr., 1836",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,NA,Microbiome study,Leaf,Suoluo National Nature Reserve,28.60058611,105.696442,China,NA/08/2020,Alsophila,spinulosa,Plantae,Polypodiophyta,Polypodiopsida,Cyatheales,Cyatheaceae,1.80823326110839,1099,257,Mexico NW deserts and montane forests
Study on the diversity of endophytic fungi of Morinda officinalis How,Unpublished,GenBank,KU529814,Peniophora,"Peniophora Cooke, 1879",Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,NA,NA,NA,NA,NA,NA,NA,28/01/2015,Amomum,villosum,Plantae,Magnoliophyta,Magnoliopsida,Zingiberales,Zingiberaceae,NA,NA,NA,NA
Study on the diversity of endophytic fungi of Morinda officinalis How,Unpublished,GenBank,KU529815,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,NA,28/01/2015,Amomum,villosum,Plantae,Magnoliophyta,Magnoliopsida,Zingiberales,Zingiberaceae,NA,NA,NA,NA
Study on the diversity of endophytic fungi of Morinda officinalis How,Unpublished,GenBank,KU529823,Phanerochaete,"Phanerochaete P.Karst., 1889",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,NA,NA,NA,NA,NA,NA,NA,28/01/2015,Amomum,villosum,Plantae,Magnoliophyta,Magnoliopsida,Zingiberales,Zingiberaceae,NA,NA,NA,NA
Can nitrogen supersede host identity in shaping the community composition of foliar endophytic fungi in an alpine meadow ecosystem,Unpublished,GenBank,OM745336,Trametes,"Trametes Fr., 1836",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,NA,NA,NA,NA,33.66667,101.85,China,NA,Anemone,rivularis,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,0.0619000017642974,717,3535,Arabic drylands
